Tên Công Ty,Địa Chỉ,Thành Phố,Số Điện Thoại,Ngành,Google Maps Link,Rating Google Maps,Số Lượt Đánh Giá,Ghi Chú
ADD Group JSC,"No 6 Nguyen Hoang, Tu Liem, Hanoi",HA NOI,+84936868700,건설 및 건설자재,https://www.google.com/maps/search/ADD+Group+JSC+HA+NOI+Vietnam,4.6,,
ADEN SERVICES VIETNAM,"Tầng 9, toà nhà Coalimex, số 33 phố Tràng Thi, phường Trần Hưng Đạo, quận Hoàn Kiếm, thành phố Hà Nội, Viêt Nam.",HA NOI,+842439344937,기타,https://www.google.com/maps/search/ADEN+SERVICES+VIETNAM+HA+NOI+Vietnam,4.2,,
"ADP GLOBAL EXPRESS CO.,LTD","B4-09, Vinhomes Gardenia, Ham Nghi, Cau Dien, Nam Tu Liem, Hanoi",HA NOI,+842422464828,"물류, 운수, 여행업","https://www.google.com/maps/search/ADP+GLOBAL+EXPRESS+CO.,LTD+HA+NOI+Vietnam",4.4,,
ADPIA. JSC,"30th, Floor, Handico Bldg, Pham Hung, Me Tri, Nam Tu Liem, Hanoi",HA NOI,+842422606074,"통신, IT, SW",https://www.google.com/maps/search/ADPIA.+JSC+HA+NOI+Vietnam,4.4,,
ADVANCED VISION AUTOMATIC,"2F No.68 X6 Resettlement Areas, Group 7, Thach Ban, Long Bien, Hanoi",HA NOI,+84969797068,"통신, IT, SW",https://www.google.com/maps/search/ADVANCED+VISION+AUTOMATIC+HA+NOI+Vietnam,5.0,,
AEGIS SYSTEM VIET NAM COMPANY LIMITED,"Room 731, 732, 733, 734, Thanh Dat Building 1, No. 3 Le Thanh Tong, May To, Ngo Quyen, Hai Phong",HAI PHONG,+842258831408,"환경, 설비, 기계",https://www.google.com/maps/search/AEGIS+SYSTEM+VIET+NAM+COMPANY+LIMITED+HAI+PHONG+Vietnam,4.5,,
Aekyung Special Paint Hanoi,"Yen Phong Industrial Park, Long Chau Commune, Yen Phong District, Bac Ninh Province",BAC NINH,+842223699205,제조업,https://www.google.com/maps/search/Aekyung+Special+Paint+Hanoi+BAC+NINH+Vietnam,4.1,,
AGILITY,"#8-2,Etown 1, 364 Cong Hoa st. Tan Binh. HO CHI MINH",HO CHI MINH,+842838132840,"물류, 운수, 여행업",https://www.google.com/maps/search/AGILITY+HO+CHI+MINH+Vietnam,3.9,,
"Ah Tae ENG Co.,Ltd",Xã Dân Tiến - Huyện Khoái Châu Tỉnh Hưng Yên - Việt Nam,HUNG YEN,+842213580128,제조업,"https://www.google.com/maps/search/Ah+Tae+ENG+Co.,Ltd+HUNG+YEN+Vietnam",4.3,,
AHN'S DELICE,"No 3, 23 Do Quang, 61 Tran Duy Hung, Cau Giay, Hanoi",HA NOI,+842435562624,제조업,https://www.google.com/maps/search/AHN'S+DELICE+HA+NOI+Vietnam,4.6,,
AIMMO Vietnam Company Limited,"13 fl, ADG Tower, 37 Lê Văn Thiêm, Nhân Chính, Thanh Xuân, Hà Nội",HA NOI,+84983459443,"통신, IT, SW",https://www.google.com/maps/search/AIMMO+Vietnam+Company+Limited+HA+NOI+Vietnam,4.0,,
"AIR QUAY VINA CO., LTD","2F, A Building, Golden Palace Tower, Me Tri Ward, Nam Tu Liem District, Hanoi, Vietnam",HA NOI,+842435727166,"통신, IT, SW","https://www.google.com/maps/search/AIR+QUAY+VINA+CO.,+LTD+HA+NOI+Vietnam",4.5,,
AISTV,"Phong 702, So 12 Tran Quoc Vuong, Cau Giay, Hanoi",HA NOI,+842432115132,"환경, 설비, 기계",https://www.google.com/maps/search/AISTV+HA+NOI+Vietnam,4.3,,
"AJ Co.,Ltd","4F, Thien Hien, Mydinh 1, Nam Tu Liem, Hanoi",HA NOI,+842466706600,건설 및 건설자재,"https://www.google.com/maps/search/AJ+Co.,Ltd+HA+NOI+Vietnam",,,
AJ NETWORKS VIETNAM,"2309-1, Keangnam Hanoi Landmark Tower, Cau Giay, Me Tri, Nam Tu Liem, Hanoi",HA NOI,+842437450066,"유통, 도소매, 무역",https://www.google.com/maps/search/AJ+NETWORKS+VIETNAM+HA+NOI+Vietnam,4.5,,
"AJ RENTAL CO.,LTD","14F, Lot, A10, Nam Trung Yen, Yen Hoa, Cau Giay, Hanoi BRANCH: Tang 3, 92F Duong Nguyen Huu Canh, Phuong 22, Quan Binh Thanh, HO CHI MINH",HO CHI MINH,+842433843246,"유통, 도소매, 무역","https://www.google.com/maps/search/AJ+RENTAL+CO.,LTD+HO+CHI+MINH+Vietnam",4.4,,
AJ Total VN Phonoi Branch,"Phòng 2309-1, Tầng 23, Keangnam Hanoi Landmark Tower, Khu đô thị mới Cầu Giấy, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam",HA NOI,+84386058960,"물류, 운수, 여행업",https://www.google.com/maps/search/AJ+Total+VN+Phonoi+Branch+HA+NOI+Vietnam,4.2,,
AJU VINA,"Lot CN4, Diem Thuy I.P, Diem Thuy, Phu Binh, Thai Nguyen",THAI NGUYEN,,부동산개발.임대,https://www.google.com/maps/search/AJU+VINA+THAI+NGUYEN+Vietnam,4.1,,
AK CHEMTECH HA NOI,"Yen Phong I.Z, Long Chau, Yen Phong, Bac Ninh",BAC NINH,+842223699205,제조업,https://www.google.com/maps/search/AK+CHEMTECH+HA+NOI+BAC+NINH+Vietnam,4.4,,
AK Interiors,"HO CHI MINH Head Office - a: 65 Street No.7, An Phu Ward, Thu Duc City, HO CHI MINH     t: +84 28 2237 7097         Ha Noi Branch Office a: 12th Fl, Daeha Business Center, 360 Kim Ma Street, Ba Dinh Dist, Ha Noi t : +84 24 2264 2626 BRANCH: HA NOI",HA NOI,+842423000000,건설 및 건설자재,https://www.google.com/maps/search/AK+Interiors+HA+NOI+Vietnam,4.4,,
"AKC VINA Co.,Ltd","No.275, Le Thanh Tong, Vo Cuong, Bac Ninh",BAC NINH,+842223858566,"환경, 설비, 기계","https://www.google.com/maps/search/AKC+VINA+Co.,Ltd+BAC+NINH+Vietnam",,,
AKTS TECH COMPANY LIMITED,"No. 26, Huyen Quang 2 Street, Vo Cuong, Bac Ninh",BAC NINH,+84976985448,"유통, 도소매, 무역",https://www.google.com/maps/search/AKTS+TECH+COMPANY+LIMITED+BAC+NINH+Vietnam,4.6,,
ALADDIN VINA,"No.128 Vo Chi Cong, Xuan La, Tay Ho, Hanoi",HA NOI,+842432121635,"유통, 도소매, 무역",https://www.google.com/maps/search/ALADDIN+VINA+HA+NOI+Vietnam,4.1,,
"ALBATROSS CONSULTANCY SERVICES ONE MEMBER CO.,LTD","5F, Ligthouse, 1254 Xo Viet Nghe Tinh, Hai Chau, Da Nang",DA NANG,+842363626888,법무.회계.투자자문,"https://www.google.com/maps/search/ALBATROSS+CONSULTANCY+SERVICES+ONE+MEMBER+CO.,LTD+DA+NANG+Vietnam",3.9,,
Alim global,"162 TT3, My Dinh-Me Tri new urban, My Dinh 1 ward, Nam Tu Liem dist BRANCH: Lot CN5 Hoang Xa industrial cluter, Dong Trung commune, Thanh Thuy distr",HA NOI,+84384388530,"섬유, 의류, 봉제 제조",https://www.google.com/maps/search/Alim+global+HA+NOI+Vietnam,4.8,,
Alliex Vietnam JSC,"Phòng 4301-08, tầng 43, Keangnam Hanoi Landmark Tower, đường Phạm Hùng, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam",HA NOI,+842471099980,"금융, 보험",https://www.google.com/maps/search/Alliex+Vietnam+JSC+HA+NOI+Vietnam,4.0,,
ALMUS TECH,"Lô G3, Khu công nghiệp Quế Võ (khu vực mở rộng), Phường Nam Sơn, Tỉnh Bắc Ninh, Việt Nam",BAC NINH,+84329065189,"전자, 전기 제조업",https://www.google.com/maps/search/ALMUS+TECH+BAC+NINH+Vietnam,4.1,,
ALMUS VINA,"Lô CN 07A, Khu công nghiệp Phú Hà, xã Hà Thạch , Thị xã Phú Thọ, Tỉnh Phú Thọ",PHU THO,+84329065189,"전자, 전기 제조업",https://www.google.com/maps/search/ALMUS+VINA+PHU+THO+Vietnam,4.3,,
Alpha Green Tech Vina,"CN-05 Hoa Phu industrial Zone, Chau Minh Hiep Hoa district, Bac Giang province.",BAC GIANG,+84369807883,제조업,https://www.google.com/maps/search/Alpha+Green+Tech+Vina+BAC+GIANG+Vietnam,4.5,,
ALPHA TO OMEGA LOGISTICS,"2nd Floor, HL Tower, Lot A2B Duy Tan, Dich Vong Hau, Cau Giay, Hanoi",HA NOI,+842437737881,"물류, 운수, 여행업",https://www.google.com/maps/search/ALPHA+TO+OMEGA+LOGISTICS+HA+NOI+Vietnam,4.3,,
ALPS ALPINE Vietnam,"4th floor, office building, 165 P. Thái Hà, Láng Hạ, Đống Đa, Hà Nội, Vietnam",HA NOI,+842432171486,"전자, 전기 제조업",https://www.google.com/maps/search/ALPS+ALPINE+Vietnam+HA+NOI+Vietnam,4.3,,
"ALTIMEDIA VIETNAM CO., LTD","23rd floor, Handico Tower, Me Tri Ha New Urban Area, Pham Hung, Me Tri Ward, Nam Tu Liem District, Hanoi, Vietnam",HA NOI,+842432565171,"통신, IT, SW","https://www.google.com/maps/search/ALTIMEDIA+VIETNAM+CO.,+LTD+HA+NOI+Vietnam",4.1,,
ALUKO HYUNDAI ALUMINUM VINA,"B2 Road, B Section, Pho Noi A Industrial Park, Lac Hong Commune, Van Lam District, Hung Yen Province, Vietnam BRANCH: LOT CN6, 1,3, DIEM THUY INDUSTRIAL ZONE, HONG TIEN COMMUNE, PHO YEN DISTRICT, THAI NGUYEN PROVINCE, VIET NAM",HUNG YEN,+842213967770,제조업,https://www.google.com/maps/search/ALUKO+HYUNDAI+ALUMINUM+VINA+HUNG+YEN+Vietnam,4.4,,
ALUMINUM HAN VIET,"Lot CN7, Diem Thuy I.P, Hong Tien, Pho Yen, Thai Nguyen",THAI NGUYEN,,제조업,https://www.google.com/maps/search/ALUMINUM+HAN+VIET+THAI+NGUYEN+Vietnam,3.8,,
"AM TELECOM Co.,Ltd","Cong Ty TNHH Younyi Electronic Vina, Tien Phong, Yen Dung, Bac Giang",BAC GIANG,+84972884298,"통신, IT, SW","https://www.google.com/maps/search/AM+TELECOM+Co.,Ltd+BAC+GIANG+Vietnam",,,
AMATA CITY HALONG JSC,"Song Khoai I.P, Song Khoai, Quang Yen, Quang Ninh",QUANG NINH,+842033567007,부동산개발.임대,https://www.google.com/maps/search/AMATA+CITY+HALONG+JSC+QUANG+NINH+Vietnam,,,
Amazon Corporate Services Vietnam Company Limited,"28A Tran Hung Dao, Phan Chu Trinh Ward, Hoan Kiem district, Hanoi, Vietnam",HA NOI,,"유통, 도소매, 무역",https://www.google.com/maps/search/Amazon+Corporate+Services+Vietnam+Company+Limited+HA+NOI+Vietnam,,,
AMI VINA,"P.1914-3, Tang 19 Keangnam Hanoi Landmark Tower, Khu E6, Cau Giay, Me Tri, Nam Tu Liem, Hanoi",HA NOI,+842462823023,"유통, 도소매, 무역",https://www.google.com/maps/search/AMI+VINA+HA+NOI+Vietnam,4.4,,
AMO VINA,"Lot CN 13, Khai Quang Industrial, Khai Quang Ward, Vinh Yen City, VINH PHUC",VINH PHUC,+842082490177,"전자, 전기 제조업",https://www.google.com/maps/search/AMO+VINA+VINH+PHUC+Vietnam,4.1,,
An duong Group,"No.48 Yen Thuong Street, Yen Thuong Commune Gia Lam District, Ha Noi City",HA NOI,+84815113333,"교육, 매체, 인쇄, 광고",https://www.google.com/maps/search/An+duong+Group+HA+NOI+Vietnam,4.6,,
AN PHAT HOLDINGS JSC,"Floor 17, PV Oil Tower, 148 Hoang Quoc Viet, Nghia",HA NOI,+842432061199,제조업,https://www.google.com/maps/search/AN+PHAT+HOLDINGS+JSC+HA+NOI+Vietnam,4.5,,
"AN RAINBOW DANANG CO.,LTD","06 Nguyen Xuan Khoat, An Hai Bac, Son Tra, Da Nang",DA NANG,,"병원, 의약, 위생, 의료","https://www.google.com/maps/search/AN+RAINBOW+DANANG+CO.,LTD+DA+NANG+Vietnam",3.9,,
AN STUDIO,"Tang 3, Showroom Everon 168 Ton That Thuyet, Dich Vong Hau, Cau Giay, Hanoi",HA NOI,,기타,https://www.google.com/maps/search/AN+STUDIO+HA+NOI+Vietnam,4.3,,
"ANAM ELECTRONICS VIETNAM CO.,LTD","Add 1: Dong Van II Industrial zone, Duy Tien district, Ha Nam Add 2: 15th Fl., Intracom 2 Phuc Dien, Bac Tu Liem, Hanoi",HA NAM,+842263582255,"전자, 전기 제조업","https://www.google.com/maps/search/ANAM+ELECTRONICS+VIETNAM+CO.,LTD+HA+NAM+Vietnam",4.9,,
ANC INTERNATIONAL,"Floor 3, SIMCO Bld, Pham Hung, My Dinh 1, Nam Tu Liem, Hanoi",HA NOI,+842437932327,"물류, 운수, 여행업",https://www.google.com/maps/search/ANC+INTERNATIONAL+HA+NOI+Vietnam,,,
ANGEL VIETNAM JSC,"No.107, Nguy Nhu Kon Tum, Nhan Chinh Thanh Xuan, Hanoi",HA NOI,+842835127317,"유통, 도소매, 무역",https://www.google.com/maps/search/ANGEL+VIETNAM+JSC+HA+NOI+Vietnam,4.6,,
"ANH CONSULTING AND AUDITING CO.,LTD","Sacombank BD, A1-2 Le Duc Tho, My Dinh, Nam Tu Liem, Hanoi BRANCH: 34A, May To, Ngo Quyen, Hai Phong",HA NOI,+842435568636,법무.회계.투자자문,"https://www.google.com/maps/search/ANH+CONSULTING+AND+AUDITING+CO.,LTD+HA+NOI+Vietnam",4.1,,
"Anh Vu Garment Im-Export Co., Ltd","Ban Yen Nhan Ward, My Hao Town, Hung Yen",HUNG YEN,,"섬유, 의류, 봉제 제조","https://www.google.com/maps/search/Anh+Vu+Garment+Im-Export+Co.,+Ltd+HUNG+YEN+Vietnam",4.1,,
ANI VINA,"Lô CN08-1, Khu Công Nghiệp Yên Phong (Khu mở rộng), Xã Yên Trung, Huyện Yên Phong, Tỉnh Bắc Ninh, Việt Nam",BAC NINH,+842223896029,"환경, 설비, 기계",https://www.google.com/maps/search/ANI+VINA+BAC+NINH+Vietnam,4.7,,
"ANYCOMTECH Co.,Ltd","Villa 02-02 KDT Roman Plaza, To Huu, Dai Mo, Nam Tu Liem, Hanoi",HA NOI,+842466603638,"유통, 도소매, 무역","https://www.google.com/maps/search/ANYCOMTECH+Co.,Ltd+HA+NOI+Vietnam",4.6,,
ANYONE VINA,"Lot M, M1, Que Vo I.P (Expanded area), Nam Son, Bac Ninh",BAC NINH,+842226259898,제조업,https://www.google.com/maps/search/ANYONE+VINA+BAC+NINH+Vietnam,,,
"AO DAI TOUR CO.,LTD","323 IPH Building, 241 Xuan Thuy, Cau Giay, Hanoi",HA NOI,+842462698469,"물류, 운수, 여행업","https://www.google.com/maps/search/AO+DAI+TOUR+CO.,LTD+HA+NOI+Vietnam",4.6,,
"AON VINA LTD. (f.k.a. Keangnam-Vina, LTD.)","Keangnam Hanoi Landmark tower, Plot E6, Pham Hung road, Cau Giay new urban, Nam Tu Liem district, Hanoi",HA NOI,+84437723801,부동산개발.임대,"https://www.google.com/maps/search/AON+VINA+LTD.+(f.k.a.+Keangnam-Vina,+LTD.)+HA+NOI+Vietnam",4.6,,
"AONE ALFORM Co.,Ltd","46 daejesandan 3-gil, Goesan-eup, Goesan-gun, Chungcheongbuk-do, Korea",KOREA,+82437607800,건설 및 건설자재,"https://www.google.com/maps/search/AONE+ALFORM+Co.,Ltd+KOREA+Vietnam",4.3,,
AP SYSTEMS VIET NAM,"Private house Nguyen Vinh Than, Binh Than Street, Vo Cuong Ward, Bac Ninh City, Bac Ninh",BAC NINH,,"환경, 설비, 기계",https://www.google.com/maps/search/AP+SYSTEMS+VIET+NAM+BAC+NINH+Vietnam,4.1,,
"APOLLO TECH VINA CO.,LTD","Road YP 2-2, Yen Phong I.P, Dong Phong, Yen Phong, Bac Ninh",BAC NINH,+842223884886,"전자, 전기 제조업","https://www.google.com/maps/search/APOLLO+TECH+VINA+CO.,LTD+BAC+NINH+Vietnam",4.2,,
"APPARELTECH VINH LOC CO., LTD","Vinh Long Town, Vinh Loc District, Thanh Hoa Province",THANH HOA,+84373929222,"섬유, 의류, 봉제 제조","https://www.google.com/maps/search/APPARELTECH+VINH+LOC+CO.,+LTD+THANH+HOA+Vietnam",4.5,,
"AQ PACIFIC CO.,LTD","H1-01, Que Vo I.Z, (expanded area), Nam Son, Bac Ninh",BAC NINH,+842223952668,"전자, 전기 제조업","https://www.google.com/maps/search/AQ+PACIFIC+CO.,LTD+BAC+NINH+Vietnam",4.3,,
ARA FLOWER AND GIFT,"No. 51 Do Dinh Thien, TT4 Song Da - My Dinh, Tu Liem, Hanoi",HA NOI,+842432029011,"유통, 도소매, 무역",https://www.google.com/maps/search/ARA+FLOWER+AND+GIFT+HA+NOI+Vietnam,4.8,,
ARIRANG,"117 Tran Duy Hung, Trung Hoa, Cau Giay, Hanoi",HA NOI,+849764162580,"숙박, 요식, 급식",https://www.google.com/maps/search/ARIRANG+HA+NOI+Vietnam,3.9,,
"ARIRANG C&S Co.,Ltd","Quang Minh Iz, Me Linh, Hanoi",HA NOI,+842435250807,건설 및 건설자재,"https://www.google.com/maps/search/ARIRANG+C&S+Co.,Ltd+HA+NOI+Vietnam",,,
ARIRANG VINA COMPANY LIMITED,"1st Floor, Zone 4A, Ha Long Marine Plaza Complex, Hung Thang, Hung Thang, Ha Long, Quang Ninh",QUANG NINH,+84363886195,"유통, 도소매, 무역",https://www.google.com/maps/search/ARIRANG+VINA+COMPANY+LIMITED+QUANG+NINH+Vietnam,4.4,,
ARP VINA COMPANY LIMITED,"Tan, Cau Giay, Hano",PHU THO,+84988524576,제조업,https://www.google.com/maps/search/ARP+VINA+COMPANY+LIMITED+PHU+THO+Vietnam,4.8,,
"ARS CO.,LTD(KERN)","Que Vo Industrial Park ( Expanded Area), Phuong Lieu Commune, Que Vo District, Bac Ninh Province.",BAC NINH,+842223952562,제조업,"https://www.google.com/maps/search/ARS+CO.,LTD(KERN)+BAC+NINH+Vietnam",3.9,,
"AS C&T Co.,Ltd","Lot 189, Ta Quang Buu, Kinh Bac, Bac Ninh",BAC NINH,+84979560592,건설 및 건설자재,"https://www.google.com/maps/search/AS+C&T+Co.,Ltd+BAC+NINH+Vietnam",4.1,,
"AsahiKasei Advance Vietnam Co., ltd","Room 308, DMC Building, 535 Kim Ma Street, Ngoc Khanh Ward, Ba Dinh District, Hanoi, Vietnam.",HAI PHONG,+84902020348,제조업,"https://www.google.com/maps/search/AsahiKasei+Advance+Vietnam+Co.,+ltd+HAI+PHONG+Vietnam",4.4,,
ASCOTT VIETNAM,"49 Hai ba trung, hanoi tower, Hanoi",HA NOI,+842439342342,"숙박, 요식, 급식",https://www.google.com/maps/search/ASCOTT+VIETNAM+HA+NOI+Vietnam,4.4,,
ASEA DAERYUN VINA,"Lot CN8-4-2, Diem Thuy Iz., Phu Binh, Thai Nguyen",THAI NGUYEN,+842083931612,"전자, 전기 제조업",https://www.google.com/maps/search/ASEA+DAERYUN+VINA+THAI+NGUYEN+Vietnam,4.4,,
ASEAN LAW FIRM LLC,"Suite 905A, 9F, Daeha Business Center, 360 Kim Ma, Ba Dinh, Hanoi",HA NOI,+842473016900,법무.회계.투자자문,https://www.google.com/maps/search/ASEAN+LAW+FIRM+LLC+HA+NOI+Vietnam,4.1,,
ASENTEC VIETNAM Company Limited,"LOT CN09-03 & CN09-04, Phu Ha Industrial Zone, Ha Thach Commune, Phu Tho Town, Phu Tho Province, VIET NAM",PHU THO,+842103822388,"전자, 전기 제조업",https://www.google.com/maps/search/ASENTEC+VIETNAM+Company+Limited+PHU+THO+Vietnam,4.3,,
"Asetek Vina.Co,Ltd","A3 plot Dinh Tram industrial, Hoang Ninh Commune, Viet Yen district, Bac Giang",BAC GIANG,+842043574886,제조업,"https://www.google.com/maps/search/Asetek+Vina.Co,Ltd+BAC+GIANG+Vietnam",4.3,,
